id,评论ID,抖音号,评论内容,评论时间,评论获赞数,评论回复数,性别,年龄,地区,获赞数,关注数,粉丝数,作品数,动态数,粉丝数
28,小千寻,893900887,走丢了....但我想起他还是有暖意。,2020-04-14 01:08:41,1,0,,,,,,,,,
29,小蚊子卍,1652118836,这大半夜的刷到这个，让我怎么睡啊[流泪][流泪][流泪]不在了不在了，都走了，就我自己了[流泪][流泪][流泪][流泪][流泪][流泪],2020-04-13 23:21:25,1,0,,,,,,,,,
30,北方的木，南方的树,2291584169,一整年,2020-04-13 22:46:25,1,0,,,,,,,,,
31,标签纸，收银纸，碳带，需要标签纸的联系,1011257843,[色],2020-04-13 21:59:40,1,0,,,,,,,,,
32,孤牧栀笙,1523361079,@星⭐九,2020-04-13 17:31:15,0,0,,,,,,,,,
33,电台主持人盛楠,847995397,那个陪我听歌的人，还在身边，珍惜[比心],2020-04-13 17:19:41,0,0,,,,,,,,,
34,李现家的小孩,1077084330,八年,2020-04-13 15:33:27,2,0,,,,,,,,,
35,QQ飞车手游    肝帝,704589251,兄弟今生一起走，谁先有对象谁是狗！结果就我成了单身狗[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸],2020-04-13 13:18:25,2,0,,,,,,,,,
36,幸福的小两口,1871355241,你多久没把耳机分给另一个人听了,2020-04-13 07:52:17,2,0,,,,,,,,,
37,紫色小芒果,1714471544,@卷卷在学习 我知道以后可能会做不了朋友，可我不缺朋友。,2020-04-13 04:53:19,1,0,,,,,,,,,
38,张壕濠,1120103156,@维他命,2020-04-12 23:05:42,3,0,,,,,,,,,
39,一切随缘，,2327681833,很喜欢这个声音，,2020-04-12 21:38:38,0,0,,,,,,,,,
40,❤️旧人如故❤️,3450456029,从来没有过[泪奔][泪奔][泪奔],2020-04-12 20:29:18,1,0,,,,,,,,,
41,两个孩子妈用户510853878496,1994354591,不在了，已经很久了,2020-04-12 15:36:38,0,0,,,,,,,,,
42,文酱*,3431486556,不要想了，学校管得那么严，摄像头都换成高清的了，连MP3都不行,2020-04-12 15:01:21,3,0,,,,,,,,,
43,丘比特之吻,2830972924,[赞],2020-04-12 13:15:02,1,0,,,,,,,,,
44,TSY,2938239087,不在了，唉,2020-04-12 11:59:51,5,0,,,,,,,,,
45,风轻云落,3597646205,真的超爱你的电台[可怜][可怜],2020-04-12 11:02:07,1,0,,,,,,,,,
46,药药药,3542775783,初听不知曲中意再听已是曲中人,2020-04-12 09:39:53,0,0,,,,,,,,,
47,团团,2320371517,@ss饿了 [快哭了],2020-04-12 00:36:31,0,0,,,,,,,,,
48,高跟鞋👠💄️💋️,695564856,有些人淡了关系 却浓了回忆[比心],2020-04-11 23:47:15,1,0,,,,,,,,,
49,古努,870049683,，,2020-04-11 23:09:49,0,0,,,,,,,,,
50,葬心,1213459876,晚安,2020-04-11 21:01:31,1,0,,,,,,,,,
51,Go      ,376078277,陪我听歌那个人，早都不在了,2020-04-11 18:14:44,1,0,,,,,,,,,
52,月慕南山,2934566181,你就像是一首单曲循环的情歌,2020-04-11 12:46:45,1,0,,,,,,,,,
53,暖不了得心,1746573957,学的时候面对喜欢的人总是一不小心就手忙脚乱视线短暂相交也会脸红心跳很久最亲密的接触就是课间十分钟零两个人并排坐着低头不语耳机线的两端不是青色的喜欢暧昧的刚刚好都说最怕在某个年纪突然听懂一首歌初听不知曲,2020-04-11 07:23:45,2,0,,,,,,,,,
54,鸡东景源私人摄影,24693354,栀子花开,2020-04-11 06:55:31,2,0,,,,,,,,,
55,食梦的小兽,336743836,我把耳机分给同桌，都是女孩，所以我们是很好的闺蜜，一直都在[捂脸][捂脸][捂脸],2020-04-11 02:52:59,0,0,,,,,,,,,
56,每天5点醒,196055201,本来挺喜欢你读书中的句子，但视频最初的一刹那看到你好像并不开心。祝好运吧。,2020-04-10 23:19:00,1,0,,,,,,,,,
57,人间忽晚,2925270996,两人对视最先转移视线的，才是最喜欢的,2020-04-10 23:08:04,1,0,,,,,,,,,
58,叶秋,2923124563,我听词也太早了[捂脸],2020-04-10 22:56:56,1,0,,,,,,,,,
59,掌阅自习室,2925729004,有人把耳机分给我[泣不成声],2020-04-10 20:29:53,2,0,,,,,,,,,
60,星辰✨,58712266,最可怕的是现在网易云推荐的歌曲全是之前把耳机分享给另一人听的歌曲,2020-04-10 19:52:19,2,0,,,,,,,,,
61,sober,3590391423,[捂脸][捂脸][捂脸][捂脸]我的故事里面就是这首歌[捂脸][捂脸],2020-04-10 19:50:55,3,1,,,,,,,,,
62,唐侃🍺,140729792,而现在听的是自己,2020-04-10 19:44:26,4,0,,,,,,,,,
63,陌客,924014979,说句心里话现在一看到你就会心跳很久。,2020-04-10 19:03:53,2,0,,,,,,,,,
64,嘉宝,583277804,有点喜欢你[大笑]了,2020-04-10 18:54:15,2,0,,,,,,,,,
65,青阳晨冥,1786595015,你就像是一首单曲循环的情歌，值得我用一生来听懂[流泪],2020-04-10 18:38:58,1,0,,,,,,,,,
66,非选择题,1063639517,暧昧的刚刚好 这句话真爱辽,2020-04-10 18:03:05,2,0,,,,,,,,,
67,幼稚♡,2269609204,@刘清歌 @－余温 [泣不成声][泣不成声],2020-04-10 17:32:54,0,2,,,,,,,,,
68,LOVE,2799670152,我从来没有把耳机另一半，分给他人,2020-04-10 17:04:04,2,0,,,,,,,,,
69,匆匆那年,57389848,[比心],2020-04-10 16:49:49,0,0,,,,,,,,,
70,寻找我,197306507,那个陪我听歌的人已不在了,2020-04-10 15:32:05,1,0,,,,,,,,,
71,以后就不爱了吧，众生不是你，万般空欢喜,2943024760,她喜欢五月天，我和她的故事都可以五月天的歌来表达，像什么《我不愿让你一个人》《如果我们不曾相遇》《温柔》,2020-04-10 15:06:18,1,0,,,,,,,,,
72,静心酒馆,2922809024,[微笑],2020-04-10 13:20:39,1,0,,,,,,,,,
73,L I  B in,1331563237,她早已是3个孩子他妈，我还是一个单身狗[流泪],2020-04-10 12:40:42,1,0,,,,,,,,,
74,用户7347209578161,3576351944,张信哲的过火，高中时我最喜欢听你唱，如今不敢再听，因为总会想起你,2020-04-10 12:37:42,1,0,,,,,,,,,
75,@蜕变,923769163,后来,2020-04-10 12:20:59,1,0,,,,,,,,,
76,@蜕变,923769163,是呀,2020-04-10 12:20:41,0,0,,,,,,,,,
77,毅,163234205,突然听懂很多歌,2020-04-10 11:44:42,1,0,,,,,,,,,
78,如风过境,3405831591,淡了关系，却浓了回忆。总是让回忆比经历还长。,2020-04-10 11:03:01,0,0,,,,,,,,,
79,冷眸,1161932127,[666],2020-04-10 10:44:06,1,0,,,,,,,,,
80,阿华田有点甜,1075274608,你说得这种，在我第一次的时候的确是这样的。但第二次的时候，却是另外一种，就是不顾一切，即使她不喜欢自己，但还是控制不住自己，课间十分钟、实验课、放学的路上、楼道间、校园里。第二种，很少见,2020-04-10 09:45:21,0,0,,,,,,,,,
81,…………,1234333305,@是妮妮酱鸭💞 来听歌[看],2020-04-10 09:19:02,2,0,,,,,,,,,
82,回不到最初的样子（拒闲聊）,1955762637,回不到最初的样子……,2020-04-10 08:03:19,1,0,,,,,,,,,
83,龙腾虎跃,2222837369,你的讲解给有味道！,2020-04-10 01:15:25,1,0,,,,,,,,,
84,就是这么骄傲,3034251881,习惯他在后面拿铅笔轻轻戳我后背，“喂，这个题下课给我讲讲。”“别吵”…[流泪],2020-04-10 00:25:01,1,0,,,,,,,,,
85,雅雯.,2369698085,我喜欢我小学同桌，那个时候的快乐仅仅是想要数学考试能超过他，悲剧的是考试前我刷了几套卷子我还是以一条判断题输了[捂脸],2020-04-10 00:07:20,7,0,,,,,,,,,
86,汐月,1571656643,@微光 初听不知曲中意，再听已是曲中人,2020-04-10 00:05:18,0,0,,,,,,,,,
87,微光,993687887,还不睡@汐月,2020-04-10 00:05:01,0,3,,,,,,,,,
88,陈思思我爱你,191689176,晚安,2020-04-09 23:34:59,5,0,,,,,,,,,
89,皮卡丘,927400311,人生就是一直往前走，我们还能再回头吗？,2020-04-09 23:19:34,0,0,,,,,,,,,
90,做一个有温度的硕士生,2369300734,还记得我吗？屏幕前的你,2020-04-09 23:17:12,1,0,,,,,,,,,
91,凡若辰曦,2226252467,不联系，可以朋友圈一个点赞，一个评论，还是会让我紧张，心跳加快，回忆着那些快乐的日子,2020-04-09 22:33:10,2,0,,,,,,,,,
92,说下午的事儿,2929612045,"“暧昧得刚刚好”
讲得太好了！",2020-04-09 22:31:51,1,0,,,,,,,,,
93,"LUCK,ENEN",880010108,荒野，呵呵呵呵呵，艾爹[赞],2020-04-09 22:22:38,2,0,,,,,,,,,
94,我以为、你以为,49066800,最悲哀的爱情，就是用余生的时间听着歌。,2020-04-09 22:20:54,1,0,,,,,,,,,
95,半熟柠萌,2061598411,一直没有[泣不成声],2020-04-09 21:41:22,1,0,,,,,,,,,
96,不在联系,1071986096,曲中曲,2020-04-09 21:33:00,1,0,,,,,,,,,
97,榆舟舟,63685208,后来听歌听的是歌词,2020-04-09 21:27:34,1,0,,,,,,,,,
98,宇～,2016790605,不管什么时候，面对自己喜欢的人都会手忙脚乱，不管是16岁的时候还是26岁的时候,2020-04-09 21:13:32,0,0,,,,,,,,,
99,回环,587820252,喜欢你的声音说出的内容,2020-04-09 21:03:05,2,0,,,,,,,,,
100,四叶,172436461,不在了,2020-04-09 20:55:33,1,0,,,,,,,,,
101,羁绊.,380966354,@cure🌙 @splendid.🔮 我记得我心跳加速的唯一一次不是和他说话是上次我让姜万圣节给他送糖 然后有个人发错卷子了 然后我拿这那张卷子堵住脸往那面看了好久我还记得那张卷子是dyy的 害,2020-04-09 20:52:09,7,1,,,,,,,,,
102,80后的少年,1152724270,最是听不得刘若英的歌 ，特别是这个年纪，比老人我们太小，比年轻人我们又是大叔。开始听的是旋律，慢慢听歌词，最后听故事，现在听的是自己,2020-04-09 20:11:32,2,0,,,,,,,,,
103,灬墨忆,591375320,真正听懂一首歌的人是一种不幸，也是一种幸运。,2020-04-09 19:54:40,1,0,,,,,,,,,
104,浅深深，,990928608,一直都是一个人做所有的事,2020-04-09 19:52:39,1,0,,,,,,,,,
105,慕容先生,936762091,和她唯一的合照就是毕业照，唯一的情侣装就是校服,2020-04-09 19:35:57,1,0,,,,,,,,,
106,Tresuare,2014099230,[比心][比心][比心],2020-04-09 19:24:19,1,0,,,,,,,,,
107,断 舍 离,354491743,初听不知曲中意，再听已是曲中人！,2020-04-09 19:15:46,1,0,,,,,,,,,
108,忆初🌈,378067601,他从来没有陪过我，但是他让我知道，我太傻了[捂脸],2020-04-09 19:12:24,2,0,,,,,,,,,
109,哈皮😜,347455299,是滴说的是啊,2020-04-09 18:59:56,0,0,,,,,,,,,
110,哈皮😜,347455299,陪听歌的还在我身边[鼓掌],2020-04-09 18:59:44,2,0,,,,,,,,,
111,坏银,1029667373,寻找的不是记忆中美好的事物，而是记忆本身,2020-04-09 18:43:19,0,0,,,,,,,,,
112,哔哔赖赖,2263778703,我发现了一个宝藏[泣不成声],2020-04-09 18:34:06,1,0,,,,,,,,,
113,南南🌻,3545446716,[玫瑰][玫瑰][玫瑰],2020-04-09 18:25:13,3,0,,,,,,,,,
114,十三,961555663,目之所及，皆是过往,2020-04-09 17:57:00,4,0,,,,,,,,,
115,爱尚向日葵,2830983132,淡了关系，浓了回忆,2020-04-09 17:41:17,2,0,,,,,,,,,
116,静静保护你,1743335363,不在了💔💔,2020-04-09 16:54:41,2,0,,,,,,,,,
117,清风,981810741,不在了,2020-04-09 16:53:35,1,0,,,,,,,,,
118,★安颜★,1379954351,@[比心][比心][比心][比心][比心],2020-04-09 16:49:16,2,0,,,,,,,,,
119,顺其自然（戏曲十分钟）,1173636354,很有道理[赞][赞][赞][赞][赞],2020-04-09 16:27:20,1,0,,,,,,,,,
120,格兰芬多的六元耀希,1945264377,从未有过，但就像太宰治说的，我避开了猛烈的欢喜，也就不会有悲痛的来袭,2020-04-09 16:14:17,3,0,,,,,,,,,
121,125.4万人,150973914,我和他们不一样，他们来学习。而我是来看你,2020-04-09 15:21:32,2,0,,,,,,,,,
122,海城青,1039740083,当我听懂了我喜欢的那首歌时，再也没有人陪我一起听了,2020-04-09 15:18:17,2,0,,,,,,,,,
123,三天打鱼 两天晒书,3626069138,寻找的不是记忆中的美好事物，而是记忆本身,2020-04-09 14:44:54,3,0,,,,,,,,,
124,三千,3511467183,最怕突然听懂一首歌,2020-04-09 14:27:27,2,0,,,,,,,,,
125,污颜六色,1965114734,最怕在某个年纪听懂一首歌,2020-04-09 13:48:35,1,0,,,,,,,,,
126,故事外的人,835188119,@ヾ荼蘼 ℡ [泣不成声][泣不成声],2020-04-09 13:35:23,0,0,,,,,,,,,
127,往前走ジ莫回头,996964260,我没经历过 却听懂了很多歌 有时候难过的时候就会突然想起某首歌突然就懂了[泣不成声],2020-04-09 13:28:29,2,0,,,,,,,,,
128,风尘,948616694,"你喜欢的歌我去学怎么唱，
然后只唱给你一人听。",2020-04-09 13:21:27,2,0,,,,,,,,,
129,下一朝夕Ray,2352057107,那个人我推开了，再然后我就成了曲中人,2020-04-09 13:19:23,2,0,,,,,,,,,
130,♡ۣۖิ听ۣۖ闻ۣۖ,138167604,[666],2020-04-09 13:14:45,2,0,,,,,,,,,
131,❤心静,2239020624,这话听的是人生的过往！,2020-04-09 11:57:18,1,0,,,,,,,,,
132,千古之恨,2926663912,没有了[感谢][感谢][感谢][感谢],2020-04-09 11:40:36,0,0,,,,,,,,,
133,阳,3595510323,年少时代喜欢的那个人现在怎么样了,2020-04-09 11:17:32,1,0,,,,,,,,,
134,๓心劫ꦿ᭄࿐,949463239,[玫瑰],2020-04-09 11:10:53,1,0,,,,,,,,,
135,小青儿,267233616,现在我就是听自己的阶段[呲牙][呲牙],2020-04-09 10:59:35,0,0,,,,,,,,,
136,讲书郎大海,603624998,初听不知曲中意，再听已是曲终人，往昔不堪回首。,2020-04-09 10:55:15,4,0,,,,,,,,,
137,向日葵🌻🌻,3465659671,戳我心啦,2020-04-09 10:29:50,1,0,,,,,,,,,
138,蜜而知味,602770924,很喜欢你,2020-04-09 10:21:31,1,0,,,,,,,,,
139,SJ哦豁,3621174787,太对了吧!,2020-04-09 10:12:01,1,0,,,,,,,,,
140,大威,3440394682,原来听歌也是一种成长，从单纯的喜欢到逐渐有了自己的理解，再到明白了好多事看过了好多人经过！,2020-04-09 09:51:43,1,0,,,,,,,,,
141,冰心@,1091158014,你高中时候谈过恋爱吗？,2020-04-09 09:22:05,1,0,,,,,,,,,
142,“拾”春风,86302803,我还记得上学的时候，我们俩下课并排坐在楼梯上，听着彼此喜欢的歌,2020-04-09 09:16:24,3,0,,,,,,,,,
143,小阿峰,2237916458,[咖啡],2020-04-09 08:54:46,0,0,,,,,,,,,
144,能个儿,281141382,说实话我听她讲第一句我就想划走了……我他妈都没有和我听歌儿的人[泣不成声],2020-04-09 08:44:36,2,0,,,,,,,,,
145,辉煌,2791364275,我觉得我完了，我一开始就听歌词,2020-04-09 08:21:51,1,0,,,,,,,,,
146,彩红姐姐,3449729969,[赞][赞],2020-04-09 07:51:13,0,0,,,,,,,,,
147,桃汁夭夭,2367650594,对呀，总能在某些歌中找到自己的影子,2020-04-09 07:44:02,1,0,,,,,,,,,
148,墨城,1741238097,初闻不知曲中意，再听已是曲中人,2020-04-09 07:15:09,6,0,,,,,,,,,
149,聚友堂,2298757405,能只懂李宗盛的歌那自己已经开始老了,2020-04-09 07:14:09,1,0,,,,,,,,,
150,有情人,1091297943,是这样[赞],2020-04-09 07:05:48,1,0,,,,,,,,,
151,😈虞大叔,2237935842,[我想静静][我想静静][我想静静][比心],2020-04-09 06:36:10,0,0,,,,,,,,,
152,浅寻,2329147681,@3 听你,2020-04-09 06:29:20,2,1,,,,,,,,,
153,风已无忧,594552279,怕的是之前她竟没有陪我听过歌,2020-04-09 05:51:23,1,0,,,,,,,,,
154,梁佳琪,79577789,寻找的不是记忆中的美好事物，而是记忆本身,2020-04-09 05:37:21,5,0,,,,,,,,,
155,蘑菇華,2070878114,[666],2020-04-09 05:32:07,3,0,,,,,,,,,
156,玫瑰,388116578,[微笑],2020-04-09 04:19:43,0,0,,,,,,,,,
157,「为梦而启航」,1167077183,[捂脸]说的真想自己！喜欢听歌，但听的是某一句歌词与自己产生共鸣罢了,2020-04-09 03:53:53,1,0,,,,,,,,,
158,涌茗山泉,962797880,[泣不成声][泣不成声],2020-04-09 02:48:38,2,0,,,,,,,,,
159,苞米露-可爱白吖🍀,191175406,从来没把耳机分给别人,2020-04-09 02:21:05,4,0,,,,,,,,,
160,彼岸花,1869316443,初听不识曲中意，再听已是曲中人,2020-04-09 02:07:21,1,0,,,,,,,,,
161,✐̶̶̶̶̶๊๋ؓ劣̶质̶脾̶气̶,46923826,，,2020-04-09 02:06:29,1,0,,,,,,,,,
162,柱,701241667,今天终于知道错,2020-04-09 01:47:00,0,0,,,,,,,,,
163,嫡默蜻蜻,331348583,暧昧的刚刚好,2020-04-09 01:37:33,2,0,,,,,,,,,
164,小卷读书,3601375576,单曲循环的都是爱惨了的吧,2020-04-09 01:26:21,1,0,,,,,,,,,
165,小卷读书,3601375576,一首歌，代表一个人,2020-04-09 01:21:38,0,0,,,,,,,,,
166,陈小马,147462434,不在了,2020-04-09 01:10:29,3,0,,,,,,,,,
167,名扬四海,2306526646,在验证多久会忘掉一个人,2020-04-09 00:59:21,1,0,,,,,,,,,
168,我心❤️依旧,1560394390,哦耶,2020-04-09 00:49:41,0,0,,,,,,,,,
169,踮脚拥他,2972353825,在的,2020-04-09 00:35:16,0,0,,,,,,,,,
170,岁月静好,362608478,[玫瑰],2020-04-09 00:07:28,1,0,,,,,,,,,
171,"๑噗噗""",5826227,离开一个错的人，就像经历一场劫难，有人从中看到了伤害，而有人从中看到了新生,2020-04-09 00:01:43,2,0,,,,,,,,,
172,九尾狐影剪,3573945618,后来……因为这首歌，当初做了对的选择,2020-04-08 23:56:18,2,0,,,,,,,,,
173,SUGA,35991677,"以前在遇到喜欢的人的时候
打招呼的手势都要反复练习好多遍",2020-04-08 23:53:04,1,0,,,,,,,,,
174,默西cry,858237909,每首歌都是一个曾经的画面，都是一张照片里的人,2020-04-08 23:48:33,6,0,,,,,,,,,
175,星空棒棒糖🍭,1592318443,@胖余🐟 [灵机一动][灵机一动],2020-04-08 23:48:12,0,1,,,,,,,,,
176,素衣回忆,1503339536,因为我刚好遇见你,2020-04-08 23:46:36,0,0,,,,,,,,,
177,西洲37.0,1104353442,“有些人淡了关系，却浓了回忆”,2020-04-08 23:44:12,2,0,,,,,,,,,
178,檸檬紫の淚,1902971709,他已经把我删了，所有联系方式一个不留，哪怕我再不舍,2020-04-08 23:40:39,1,0,,,,,,,,,
179,北柠.,335729043,他从未知道他是多么的重要,2020-04-08 23:37:24,2,0,,,,,,,,,
180,莫寻她,934059963,陪我追公交的人已经不见很久了,2020-04-08 23:32:44,1,0,,,,,,,,,
181,傅钰淏,366752802,我看了你很多作品，很多都听哭了，很不错,2020-04-08 23:30:32,0,0,,,,,,,,,
182,有人吗,3468685178,曾记得那次我们一起听歌，突然一个同学走了过来，我们两个默契的拿下耳机，很尴尬......不知道，她还好吗，唉:-(,2020-04-08 23:30:15,3,0,,,,,,,,,
183,Walton,604738504,Amber，[666],2020-04-08 23:23:59,0,0,,,,,,,,,
184,Walton,604738504,最怕突然听懂一首歌,2020-04-08 23:23:42,4,0,,,,,,,,,
185,牵着蜗牛去散步,3455436589,后来的我，有没有出现在你的梦里……,2020-04-08 23:23:11,0,0,,,,,,,,,
186,broken men,343349477,我觉得是【不再联系】,2020-04-08 23:22:09,0,0,,,,,,,,,
187,Agoni🌼,86826274,暧昧的那一段最上头,2020-04-08 23:19:16,0,0,,,,,,,,,
188,曾经丶问云,1171632875,我已经好久没有认认真真的听过一首歌了，不光是没有了那个和我一起听歌的人了，更怕的是怕我某一天成了某一首歌中的那个故事，那个人。。。[流泪][流泪][流泪],2020-04-08 23:08:12,4,0,,,,,,,,,
189,新羅兮兮,850505872,值得吗？念念不忘吗？还等回响呢？,2020-04-08 23:06:12,2,0,,,,,,,,,
190,巨星不易,69792163,这一生关于你的风景,2020-04-08 23:02:17,1,0,,,,,,,,,
191,南巷酒肆,1160707022,牧马城市 高考结束 我们无疾而终,2020-04-08 22:58:58,3,0,,,,,,,,,
192,……,372656028,淡了关系，浓了回忆。[爱心],2020-04-08 22:56:13,4,0,,,,,,,,,
193,静静的,2019515744,不在了，所以我做好了不婚的准备。,2020-04-08 22:55:21,4,1,,,,,,,,,
194,用户8844393568159,2320190112,真的不想喜欢一个人了，太累了,2020-04-08 22:54:15,0,0,,,,,,,,,
195,淹死的鱼゛,1898582608,刚好遇见你,2020-04-08 22:50:59,0,0,,,,,,,,,
196,逆、时针,2236424534,一别两宽了[泣不成声][泣不成声][泣不成声],2020-04-08 22:45:41,1,0,,,,,,,,,
197,沉🐠,2355370677,上学路上，总是分他一只耳机，可惜啊，终究还是陌路了,2020-04-08 22:40:13,10,0,,,,,,,,,
198,记得早睡,987597529,姐姐到底几个好啊，我都关注三个了[捂脸],2020-04-08 22:37:49,3,0,,,,,,,,,
199,双鱼0113,102789893,曾经的曾经…,2020-04-08 22:34:44,2,0,,,,,,,,,
200,用户4040873870752,3467229373,初听不知曲中意，再听已是曲终人,2020-04-08 22:33:03,1,0,,,,,,,,,
201,仲夏夜之星,1552127051,没在了,2020-04-08 22:31:40,1,0,,,,,,,,,
202,ʚjaylin.xulinɞ,60716977,晚安[玫瑰],2020-04-08 22:31:36,1,0,,,,,,,,,
203,源来是我欢欢笑笑,2361653215,谢谢姐姐[玫瑰],2020-04-08 22:30:53,2,0,,,,,,,,,
204,MT,134200205,晚安,2020-04-08 22:29:15,2,0,,,,,,,,,
205,炎龙,3452204887,"知道吗？amber , 你说的总与我有关，我都经历了，我才17啊[泣不成声]",2020-04-08 22:24:09,5,0,,,,,,,,,
206,阿研,2947727046,最怕突然听懂一首歌，初听不知曲中意，再听已是曲中人，以前听歌听的是旋律，后来听歌听的是歌词，再后来听的是故事，现在听的是自己～[鼓掌][鼓掌][玫瑰][玫瑰],2020-04-08 22:24:05,9,0,,,,,,,,,
207,用户6527216681485,2833475395,好治愈啊！[玫瑰][666],2020-04-08 22:21:27,3,0,,,,,,,,,
208,书影情话,260282552,最怕在某个年纪听懂一首歌。可我宁愿听不懂啊,2020-04-08 22:20:56,1,0,,,,,,,,,
209,书影情话,260282552,最怕在某个年纪听懂一首歌，可是我宁愿听不懂啊,2020-04-08 22:20:22,9,0,,,,,,,,,
210,眼里住着你,1031274830,害，不在了[捂脸],2020-04-08 22:18:41,2,0,,,,,,,,,
211,大风起兮云飞扬,40059404,没有了，青春的过往,2020-04-08 22:16:29,1,0,,,,,,,,,
212,拿起我的Apple Pencil,1191464375,好像还是初中 话说 感谢我们的年代 毕竟现在如果想听一首歌 可以用蓝牙耳机 或者公放 而我们的年代 还是mp3,2020-04-08 22:15:40,1,0,,,,,,,,,
213,零食,1887728050,记得那天早晨 我忙着在抄作业 她穿着一件很漂亮的连衣裙出现在教室 教室里顿时有点小骚动 我并没有在意 交作业比较重要 当我抬头时 她已经站在我面前 我看着她 她看着我 全班同学看着我们,2020-04-08 22:10:06,12,1,,,,,,,,,
214,妖怪殿下,2172432866,……,2020-04-08 22:07:45,1,0,,,,,,,,,
215,毛毛球,2272643821,每一个视频都说到心里[玫瑰][玫瑰][玫瑰],2020-04-08 21:59:53,3,0,,,,,,,,,
216,山猫,1059347749,我的耳机就没给出去过，一直我一个人听的[捂脸][捂脸],2020-04-08 21:54:51,1,0,,,,,,,,,
217,拌粉好吃呀,3591989218,晚到了点，嘤嘤嘤,2020-04-08 21:52:22,5,0,,,,,,,,,
218,守望,2125647192,害怕听到伤不起[捂脸][捂脸][捂脸],2020-04-08 21:52:22,1,0,,,,,,,,,
219,冬日.,2197725572,我好喜欢这个姐姐的声音和内涵句子@、滥情人€,2020-04-08 21:52:00,1,0,,,,,,,,,
220,♥香香～头像馆,1621706776,害，我现在就是听到的歌大多数都懂了，因为一个人[捂脸],2020-04-08 21:50:43,7,0,,,,,,,,,
221,枏,33994016,我就不同了我是同桌哈哈[流泪],2020-04-08 21:49:47,0,0,,,,,,,,,
